,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
67,59,0,2,2018-10-20T16:31:16Z,42,0,0,101184.jpg,0.8,0,Chambers,18,Chambers,1,Calum Chambers,287,Arsenal,12,299,0,0,0.14,0.2,0.04,0.06,Unfilled
68,157,0,4,,67,0,0,128389.jpg,4.5,0,Mitrovic,494,Mitrovic,4,Aleksandar Mitrovic,25,Newcastle United,34,2103,9,4,10.34,2.22,0.44,0.1,Unfilled
69,64,0,2,2018-09-29T16:31:14Z,45,1,0,201084.jpg,0.6,0,Fosu-Mensah,26,Fosu-Mensah,2,Timothy Fosu-Mensah,303,Manchester United,8,247,0,1,0.04,0.59,0.02,0.21,Unfilled
70,95,2,2,2018-10-06T17:01:15Z,45,0,0,15033.jpg,1.9,2,Morgan,30,Morgan,0,Wes Morgan,158,Leicester,38,3420,2,0,3.01,0.05,0.08,0.0,Unfilled
71,69,2,2,2018-08-10T19:31:12Z,48,0,0,37642.jpg,3.0,0,Evans,29,Evans,1,Jonny Evans,239,West Bromwich Albion,30,2600,1,1,1.24,0.78,0.04,0.03,Unfilled
72,90,1,3,2018-07-23T19:01:08Z,52,0,0,51938.jpg,2.1,0,Albrighton,105,Albrighton,1,Marc Albrighton,160,Leicester,38,2796,2,6,2.55,8.1,0.08,0.26,Unfilled
73,84,3,4,2018-10-25T14:01:15Z,90,0,0,101668.jpg,3.7,1,Vardy,307,Vardy,0,Jamie Vardy,3,Leicester,36,3154,24,6,22.14,6.27,0.63,0.18,Unfilled
74,16,0,4,2018-08-25T13:01:12Z,52,0,0,78412.jpg,1.0,0,Okazaki,32,Okazaki,0,Shinji Okazaki,70,Leicester,36,2105,5,0,8.61,1.13,0.37,0.05,Unfilled
75,111,1,4,,59,0,0,173515.jpg,3.6,0,Iheanacho,124,Iheanacho,0,Kelechi Iheanacho,31,Manchester City,26,727,8,1,4.94,1.59,0.61,0.2,Unfilled
76,0,0,1,2018-09-14T13:01:14Z,48,0,0,66797.jpg,0.0,0,Mignolet,0,Mignolet,0,Simon Mignolet,279,Liverpool,34,3060,0,0,0.0,0.01,0.0,0.0,Unfilled
77,75,2,2,2018-11-07T02:01:16Z,49,0,0,38454.jpg,6.7,0,Lovren,6,Lovren,0,Dejan Lovren,328,Liverpool,24,1901,0,0,1.13,0.28,0.05,0.01,Unfilled
78,13,0,2,,42,0,0,100059.jpg,2.0,0,Moreno,5,Moreno,0,Alberto Moreno,203,Liverpool,32,2546,1,4,1.65,4.23,0.06,0.15,Unfilled
79,0,0,2,2018-11-05T10:01:14Z,46,0,0,57328.jpg,0.0,0,Clyne,0,Clyne,0,Nathaniel Clyne,200,Liverpool,33,2970,1,0,1.82,1.84,0.06,0.06,Unfilled
80,221,5,2,2018-10-20T15:31:16Z,59,0,0,97032.jpg,4.0,0,van Dijk,70,van Dijk,1,Virgil van Dijk,115,Southampton,34,3060,3,0,3.3,1.34,0.1,0.04,Unfilled
81,106,2,3,2018-10-22T10:01:16Z,53,0,0,56979.jpg,1.7,0,Henderson,2,Henderson,0,Jordan Henderson,138,Liverpool,17,1300,2,3,1.53,1.3,0.11,0.09,Unfilled
