PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
374,Danny Williams,Huddersfield,3,83,0,0,0.02,0.00,0.02,0.00
375,Laurent Depoitre,Huddersfield,16,834,0,1,2.22,0.38,0.24,0.04
376,Jan Bednarek,Southampton,4,260,0,0,0.00,0.00,0.00,0.00
377,Charlie Taylor,Burnley,17,1348,0,0,0.03,1.11,0.00,0.07
378,Bruno,Brighton,8,633,0,1,0.07,0.47,0.01,0.07
379,Davy Pröpper,Brighton,13,1146,0,0,0.13,0.45,0.01,0.04
380,Dale Stephens,Brighton,12,873,0,0,0.08,0.08,0.01,0.01
381,Ederson Santana de Moraes,Manchester City,17,1530,0,1,0.00,0.05,0.00,0.00
382,Phil Foden,Manchester City,8,77,0,0,0.54,0.65,0.63,0.76
383,Isaac Hayden,Newcastle United,5,135,0,0,0.00,0.34,0.00,0.22
384,Jacob Murphy,Newcastle United,7,278,0,1,0.03,0.61,0.01,0.20
385,Victor Lindelöf,Manchester United,13,1079,0,0,0.03,0.00,0.00,0.00
386,Gaëtan Bong,Brighton,12,1055,0,0,0.00,0.18,0.00,0.02
387,José Izquierdo,Brighton,9,582,0,1,0.57,0.38,0.09,0.06
388,Davinson Sánchez,Tottenham,8,613,0,1,1.02,0.51,0.15,0.08
389,Abdelhamid Sabiri,Huddersfield,2,51,0,0,0.00,0.00,0.00,0.00
390,Jonathan Hogg,Huddersfield,13,1093,0,1,0.13,0.23,0.01,0.02
391,Franck Zambo,Fulham,11,638,0,0,0.16,0.12,0.02,0.02
392,Adrien Silva,Leicester,2,86,0,0,0.00,0.00,0.00,0.00
393,Eddie Nketiah,Arsenal,1,1,0,0,0.00,0.00,0.00,0.00
394,Michael Obafemi,Southampton,4,89,0,1,0.71,0.34,0.72,0.34
395,Yerry Mina,Everton,7,541,0,0,0.32,0.06,0.05,0.01
396,Alexander Sørloth,Crystal Palace,12,156,0,0,0.47,0.69,0.27,0.40
397,Martin Dubravka,Newcastle United,17,1530,0,0,0.00,0.00,0.00,0.00
398,Jürgen Locadia,Brighton,11,236,0,0,0.81,0.53,0.31,0.20
399,Grady Diangana,West Ham,9,352,0,1,0.50,0.78,0.13,0.20
400,Dwight McNeil,Burnley,1,81,0,0,0.03,0.64,0.03,0.71
401,Luke Amos,Tottenham,1,1,0,0,0.00,0.00,0.00,0.00
402,Neil Etheridge,Cardiff,17,1530,0,0,0.00,0.00,0.00,0.00
403,Lee Peltier,Cardiff,4,188,0,0,0.00,0.00,0.00,0.00
404,Sean Morrison,Cardiff,17,1513,0,3,2.61,1.91,0.15,0.11
405,Nathaniel Mendez-Laing,Cardiff,6,215,0,0,0.33,0.26,0.14,0.11
406,Joe Ralls,Cardiff,13,1007,0,0,1.13,2.32,0.10,0.21
407,Gary Madine,Cardiff,5,23,0,0,0.00,0.00,0.00,0.00
408,Greg Cunningham,Cardiff,4,360,0,0,0.05,0.15,0.01,0.04
409,Cyrus Christie,Fulham,11,793,0,0,0.14,0.68,0.02,0.08
410,Joe Bryan,Fulham,7,518,0,0,0.07,0.36,0.01,0.06
